STORE_ID,DATE_ID,STORE_WEEKLY_SALES,FUEL_PRICE,STORE_TEMPERATURE,UNEMPLOYMENT,CPI,MARKDOWN1,MARKDOWN2,MARKDOWN3,MARKDOWN4,MARKDOWN5,GOLD_LOADED_AT
1,2010-02-05,1643690.90,2.572,42.31,8.106,211.0963582,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-02-12,1641957.44,2.548,38.51,8.106,211.2421698,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-02-19,1611968.17,2.514,39.93,8.106,211.2891429,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-02-26,1409727.59,2.561,46.63,8.106,211.3196429,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-03-05,1554806.68,2.625,46.50,8.106,211.3501429,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-03-12,1439541.59,2.667,57.79,8.106,211.3806429,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-03-19,1472515.79,2.720,54.58,8.106,211.2156350,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-03-26,1404429.92,2.732,51.45,8.106,211.0180424,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-04-02,1594968.28,2.719,62.27,7.808,210.8204499,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-04-09,1545418.53,2.770,65.86,7.808,210.6228574,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-04-16,1466058.28,2.808,66.32,7.808,210.4887000,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-04-23,1391256.12,2.795,64.84,7.808,210.4391228,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-04-30,1425100.71,2.780,67.41,7.808,210.3895456,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-05-07,1603955.12,2.835,72.55,7.808,210.3399684,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-05-14,1494251.50,2.854,74.78,7.808,210.3374261,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-05-21,1399662.07,2.826,76.44,7.808,210.6170934,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-05-28,1432069.95,2.759,80.44,7.808,210.8967606,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-06-04,1615524.71,2.705,80.69,7.808,211.1764278,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-06-11,1542561.09,2.668,80.43,7.808,211.4560951,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-06-18,1503284.06,2.637,84.11,7.808,211.4537719,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-06-25,1422711.60,2.653,84.34,7.808,211.3386526,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-07-02,1492418.14,2.669,80.91,7.787,211.2235333,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-07-09,1546074.18,2.642,80.48,7.787,211.1084140,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-07-16,1448938.92,2.623,83.15,7.787,211.1003854,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-07-23,1385065.20,2.608,83.36,7.787,211.2351443,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-07-30,1371986.60,2.640,81.84,7.787,211.3699032,,,,,,2026-07-13 13:10:02.082 -0700
1,2010-08-06,1605491.78,2.627,87.16,7.787,211.5046621,,,,,,2026-07-13 13:10:02.082 -0700
