DATE_ID,STORE_DATE,ISHOLIDAY,INSERT_DATE,UPDATE_DATE
2010-11-05,2010-11-05,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-07-22,2011-07-22,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-12-30,2011-12-30,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-07-16,2010-07-16,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-05-14,2010-05-14,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-12-23,2011-12-23,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-04-15,2011-04-15,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-08-03,2012-08-03,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-01-21,2011-01-21,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-04-30,2010-04-30,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-08-20,2010-08-20,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-10-07,2011-10-07,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-11-18,2011-11-18,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-07-01,2011-07-01,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-03-02,2012-03-02,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-12-09,2011-12-09,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-12-02,2011-12-02,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-04-16,2010-04-16,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-06-10,2011-06-10,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-09-23,2011-09-23,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-10-14,2011-10-14,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-04-23,2010-04-23,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-03-09,2012-03-09,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-10-28,2011-10-28,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-04-09,2010-04-09,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-11-26,2010-11-26,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-04-20,2012-04-20,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-11-12,2010-11-12,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-07-08,2011-07-08,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-10-12,2012-10-12,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-07-30,2010-07-30,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-11-19,2010-11-19,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-06-18,2010-06-18,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-09-07,2012-09-07,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-05-13,2011-05-13,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-02-05,2010-02-05,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-04-08,2011-04-08,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-05-18,2012-05-18,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-08-31,2012-08-31,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-12-31,2010-12-31,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-02-24,2012-02-24,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-07-15,2011-07-15,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-04-27,2012-04-27,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-07-20,2012-07-20,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-02-11,2011-02-11,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-06-25,2010-06-25,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-08-19,2011-08-19,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-10-19,2012-10-19,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-05-27,2011-05-27,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-08-27,2010-08-27,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-09-03,2010-09-03,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-02-18,2011-02-18,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-06-04,2010-06-04,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-05-07,2010-05-07,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-09-21,2012-09-21,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-02-12,2010-02-12,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-02-10,2012-02-10,TRUE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-03-26,2010-03-26,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-12-10,2010-12-10,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-05-28,2010-05-28,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-03-04,2011-03-04,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-10-29,2010-10-29,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-08-05,2011-08-05,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-01-28,2011-01-28,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-06-29,2012-06-29,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-01-20,2012-01-20,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-05-20,2011-05-20,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-09-17,2010-09-17,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-06-03,2011-06-03,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-08-17,2012-08-17,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-08-06,2010-08-06,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-08-24,2012-08-24,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-09-30,2011-09-30,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-12-17,2010-12-17,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-01-27,2012-01-27,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-03-11,2011-03-11,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-05-04,2012-05-04,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2012-03-16,2012-03-16,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2010-10-01,2010-10-01,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
2011-08-12,2011-08-12,FALSE,2026-07-13 10:01:33.281,2026-07-13 11:35:50.898
